Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
21,Self Enquiry,1,10,Salaried,Male,3,5,Basic,3,Unmarried,3,0,3,0,2,Executive,21711,0
51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Unmarried,4,0,1,1,0,Senior Manager,22484,0
41,Self Enquiry,3,6,Salaried,Female,3,3,Deluxe,3,Single,1,1,4,0,2,Manager,20993,1
37,Self Enquiry,3,10,Small Business,Female,4,5,Standard,3,Married,2,0,3,1,1,Senior Manager,26322,0
38,Company Invited,1,12,Large Business,Male,3,2,Basic,3,Unmarried,2,0,5,1,1,Executive,22178,0
39,Self Enquiry,1,17,Small Business,Female,4,4,Deluxe,3,Divorced,5,0,3,1,3,Manager,28502,0
28,Self Enquiry,1,6,Salaried,Male,3,4,Basic,3,Married,2,0,4,0,1,Executive,16563,0
53,Company Invited,3,8,Small Business,Female,2,4,Standard,4,Married,3,0,1,1,0,Senior Manager,22525,0
25,Self Enquiry,1,36,Small Business,Male,4,4,Basic,5,Married,3,0,4,1,2,Executive,22585,0
35,Self Enquiry,3,6,Small Business,Male,3,3,Standard,4,Divorced,2,0,4,1,2,Senior Manager,22295,0
33,Company Invited,1,12,Salaried,Female,3,2,Basic,3,Single,5,1,1,0,2,Executive,21110,1
58,Self Enquiry,1,8,Large Business,Female,3,4,Standard,3,Married,1,0,5,0,0,Senior Manager,17372,1
30,Self Enquiry,1,8,Small Business,Female,2,4,Deluxe,3,Unmarried,6,1,1,1,1,Manager,21877,0
31,Company Invited,3,32,Large Business,Female,3,4,Deluxe,3,Divorced,2,1,3,1,1,Manager,23414,0
35,Company Invited,1,24,Salaried,Male,3,3,Deluxe,3,Married,2,1,3,1,0,Manager,20689,0
54,Self Enquiry,3,9,Small Business,Male,3,4,Super Deluxe,3,Married,8,0,3,1,1,AVP,33530,0
29,Self Enquiry,1,15,Salaried,Female,4,4,Basic,3,Unmarried,3,0,4,0,2,Executive,21988,0
40,Self Enquiry,2,24,Salaried,Male,2,1,Basic,5,Married,1,0,1,1,1,Executive,17387,1
31,Company Invited,1,16,Small Business,Male,4,4,Deluxe,5,Married,3,0,1,1,2,Manager,21750,0
48,Self Enquiry,1,21,Salaried,Female,3,3,Basic,5,Married,1,0,1,1,0,Executive,17367,0
37,Company Invited,3,10,Small Business,Male,3,5,Standard,3,Married,6,0,1,0,1,Senior Manager,28377,0
34,Self Enquiry,1,14,Small Business,Female,3,3,Deluxe,3,Single,4,0,4,1,1,Manager,21142,0
34,Company Invited,1,9,Salaried,Male,2,3,Deluxe,3,Unmarried,1,0,2,1,0,Manager,22756,0
33,Self Enquiry,1,8,Salaried,Male,2,3,Basic,3,Single,1,0,3,1,0,Executive,17500,0
43,Self Enquiry,1,9,Salaried,Male,4,5,Deluxe,3,Unmarried,5,0,2,0,2,Manager,25459,0
34,Self Enquiry,3,8,Salaried,Male,2,3,Deluxe,3,Single,2,0,5,0,0,Manager,21274,0
34,Self Enquiry,1,9,Salaried,Female,3,4,Basic,5,Divorced,2,0,3,1,1,Executive,21385,1
22,Self Enquiry,1,17,Small Business,Female,2,3,Basic,4,Divorced,2,0,2,1,0,Executive,17244,0
38,Self Enquiry,3,6,Salaried,Female,2,4,Deluxe,3,Unmarried,5,0,2,1,1,Manager,23686,0
51,Company Invited,3,15,Large Business,Male,3,4,Deluxe,3,Married,5,1,5,0,1,Manager,25474,1
46,Company Invited,1,14,Salaried,Male,4,4,Standard,5,Married,3,0,1,1,1,Senior Manager,23888,0
39,Self Enquiry,2,7,Salaried,Male,3,2,Basic,3,Married,3,0,4,1,1,Executive,21522,0
38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,1,0,Senior Manager,24526,0
48,Self Enquiry,3,35,Small Business,Female,3,3,Standard,3,Divorced,4,0,4,0,0,Senior Manager,27504,0
33,Self Enquiry,3,9,Small Business,Male,3,5,Deluxe,4,Single,2,1,1,1,1,Manager,28585,1
36,Self Enquiry,1,17,Salaried,Male,3,4,Basic,3,Married,3,0,5,0,1,Executive,22595,0
37,Company Invited,1,10,Large Business,Male,3,4,Basic,4,Married,3,0,3,0,2,Executive,22370,0
44,Company Invited,1,16,Small Business,Male,4,4,Deluxe,3,Married,5,1,3,1,3,Manager,24357,0
29,Self Enquiry,1,14,Small Business,Male,3,4,Deluxe,3,Married,2,1,3,1,1,Manager,20056,0
36,Self Enquiry,1,9,Salaried,Male,3,5,Standard,4,Married,4,0,4,1,1,Senior Manager,28952,0
51,Company Invited,1,14,Salaried,Male,2,5,Standard,3,Unmarried,3,0,2,0,1,Senior Manager,25650,1
33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Married,1,0,1,0,0,Manager,21146,0
35,Self Enquiry,1,29,Small Business,Male,3,5,Basic,3,Married,1,0,1,1,0,Executive,17705,0
55,Company Invited,1,24,Small Business,Male,3,3,Deluxe,4,Divorced,4,1,5,1,2,Manager,21385,0
35,Self Enquiry,1,9,Small Business,Female,3,5,Basic,5,Unmarried,3,0,2,1,2,Executive,23059,0
26,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Married,2,0,5,1,0,Executive,17377,1
29,Company Invited,1,13,Salaried,Male,3,5,Basic,3,Married,3,1,4,1,1,Executive,21381,0
32,Self Enquiry,1,15,Salaried,Female,4,4,Deluxe,3,Unmarried,3,0,5,0,2,Manager,23102,0
32,Company Invited,1,31,Large Business,Female,2,4,Deluxe,3,Unmarried,4,0,1,1,1,Manager,23916,0
40,Self Enquiry,1,30,Large Business,Male,3,3,Deluxe,3,Married,2,0,3,1,1,Manager,18319,0
29,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,2,1,3,0,0,Manager,21623,0
42,Company Invited,1,8,Small Business,Male,2,3,Basic,3,Single,6,1,2,0,1,Executive,17515,0
37,Self Enquiry,1,6,Salaried,Female,3,3,Deluxe,4,Divorced,7,0,2,1,1,Manager,21447,0
33,Self Enquiry,1,16,Small Business,Female,3,4,Basic,5,Unmarried,2,0,4,1,1,Executive,22878,1
26,Company Invited,1,6,Salaried,Female,2,3,Deluxe,4,Married,2,0,5,0,1,Manager,21397,0
35,Self Enquiry,1,8,Salaried,Male,2,4,Standard,4,Married,3,0,4,1,0,Senior Manager,25274,0
38,Self Enquiry,1,26,Salaried,Male,4,4,Basic,4,Divorced,6,0,4,1,2,Executive,21700,0
50,Self Enquiry,1,14,Salaried,Male,3,5,Standard,3,Single,2,0,1,1,1,Senior Manager,29643,0
21,Self Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,Executive,16232,0
30,Company Invited,3,32,Small Business,Female,2,4,Deluxe,5,Unmarried,6,0,1,1,1,Manager,21696,1
38,Self Enquiry,3,13,Small Business,Male,4,4,Deluxe,3,Divorced,6,0,3,0,1,Manager,25180,0
39,Company Invited,1,8,Large Business,Female,3,3,Standard,3,Unmarried,1,0,1,1,2,Senior Manager,25938,0
35,Self Enquiry,1,27,Large Business,Female,3,2,Basic,3,Divorced,2,0,1,1,1,Executive,21263,0
36,Self Enquiry,1,23,Small Business,Male,3,2,Basic,4,Married,2,0,4,1,2,Executive,21104,0
36,Self Enquiry,1,30,Small Business,Male,4,6,Basic,3,Married,2,0,1,1,1,Executive,21383,0
45,Self Enquiry,1,12,Salaried,Male,2,3,Standard,5,Divorced,5,1,3,0,0,Senior Manager,28245,0
54,Self Enquiry,3,14,Small Business,Female,4,5,Standard,3,Divorced,2,1,2,0,1,Senior Manager,29612,0
52,Company Invited,1,31,Small Business,Female,2,4,Super Deluxe,3,Divorced,4,0,5,0,1,AVP,28826,0
31,Self Enquiry,3,9,Large Business,Male,4,4,Basic,4,Divorced,3,0,3,1,3,Executive,21154,0
34,Self Enquiry,1,33,Small Business,Female,3,3,Basic,4,Single,3,0,3,0,0,Executive,17311,0
50,Self Enquiry,3,18,Small Business,Female,4,4,Deluxe,3,Unmarried,5,0,4,0,2,Manager,23185,0
43,Company Invited,1,16,Salaried,Female,2,3,Basic,3,Single,1,0,5,0,1,Executive,17455,0
37,Self Enquiry,1,19,Small Business,Female,3,5,Standard,3,Unmarried,2,0,1,1,1,Senior Manager,27536,0
44,Company Invited,1,34,Salaried,Female,3,4,Standard,5,Divorced,2,0,4,0,1,Senior Manager,29498,0
55,Self Enquiry,3,32,Small Business,Male,2,4,King,3,Married,2,0,3,1,1,VP,34586,0
41,Self Enquiry,1,20,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451,0
31,Self Enquiry,2,28,Salaried,Male,2,5,Basic,3,Married,2,0,1,0,1,Executive,24852,1
57,Self Enquiry,1,14,Large Business,Male,4,4,Basic,3,Married,2,0,4,1,3,Executive,21017,1
33,Company Invited,1,11,Salaried,Female,3,3,Standard,4,Divorced,7,0,3,1,2,Senior Manager,26878,0
24,Self Enquiry,1,24,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774,0
32,Company Invited,1,6,Salaried,Female,3,4,Basic,4,Married,7,0,3,0,2,Executive,17332,0
43,Self Enquiry,3,15,Small Business,Male,3,4,Deluxe,4,Married,2,0,3,1,1,Manager,25503,0
27,Self Enquiry,3,8,Small Business,Male,2,3,Basic,5,Married,1,0,5,0,1,Executive,18041,1
29,Self Enquiry,1,34,Salaried,Female,3,3,Basic,3,Married,5,0,5,1,0,Executive,17514,0
38,Company Invited,1,18,Salaried,Male,1,4,Deluxe,5,Married,3,0,5,1,0,Manager,21288,0
29,Self Enquiry,1,9,Small Business,Male,3,6,Basic,3,Divorced,7,1,3,1,1,Executive,22142,1
31,Self Enquiry,3,19,Large Business,Female,3,4,Deluxe,3,Unmarried,2,0,1,1,2,Manager,25255,0
39,Self Enquiry,1,36,Small Business,Male,4,4,Deluxe,5,Married,2,1,3,1,3,Manager,25351,1
60,Self Enquiry,1,10,Small Business,Female,3,2,Basic,5,Married,6,1,1,0,2,Executive,21348,0
30,Self Enquiry,3,18,Large Business,Female,2,3,Deluxe,3,Unmarried,1,0,2,1,0,Manager,21577,0
49,Self Enquiry,1,11,Salaried,Male,4,5,Standard,3,Single,2,0,5,1,1,Senior Manager,29677,0
32,Company Invited,3,14,Small Business,Female,4,4,Standard,5,Married,4,0,1,1,3,Senior Manager,28315,0
26,Self Enquiry,1,9,Small Business,Male,4,2,Basic,5,Unmarried,2,0,2,1,3,Executive,22102,0
38,Company Invited,1,18,Salaried,Male,3,4,Standard,3,Married,3,1,3,1,2,Senior Manager,30863,0
22,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323,0
38,Self Enquiry,1,23,Salaried,Female,3,4,Standard,3,Divorced,1,0,2,0,2,Senior Manager,23823,0
30,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,3,1,2,Executive,17693,0
18,Self Enquiry,1,9,Small Business,Male,2,3,Basic,3,Single,2,0,4,1,0,Executive,16420,1
25,Self Enquiry,3,19,Small Business,Male,2,3,Basic,3,Married,2,0,3,1,1,Executive,17096,0
34,Self Enquiry,1,8,Small Business,Male,3,1,Basic,3,Married,1,1,1,0,1,Executive,17932,0
37,Company Invited,3,10,Small Business,Male,2,3,Basic,3,Married,5,0,4,1,0,Executive,17793,0
23,Company Invited,1,23,Small Business,Male,4,2,Basic,3,Married,3,1,3,0,3,Executive,21613,0
22,Self Enquiry,1,21,Small Business,Female,2,3,Basic,3,Single,2,0,2,1,1,Executive,17871,0
30,Self Enquiry,1,15,Salaried,Male,4,6,Basic,5,Married,3,1,3,0,2,Executive,20797,1
31,Self Enquiry,3,19,Small Business,Male,3,4,Deluxe,5,Married,6,1,1,1,0,Manager,17302,1
52,Self Enquiry,1,12,Large Business,Male,3,3,Deluxe,5,Married,4,1,4,1,1,Manager,20577,0
44,Self Enquiry,3,15,Salaried,Male,3,4,Basic,5,Married,4,0,1,1,2,Executive,34190,1
35,Company Invited,3,13,Small Business,Female,3,6,Basic,3,Married,2,0,4,0,2,Executive,21029,1
27,Self Enquiry,1,23,Small Business,Male,3,4,Basic,4,Married,4,1,1,1,1,Executive,21051,1
36,Self Enquiry,3,8,Small Business,Male,3,4,Standard,3,Divorced,2,0,2,1,0,Senior Manager,22596,0
53,Self Enquiry,1,13,Large Business,Male,4,4,Deluxe,5,Married,5,1,4,1,2,Manager,24255,0
33,Self Enquiry,1,12,Salaried,Male,3,5,Deluxe,3,Unmarried,2,0,1,0,2,Manager,28357,0
38,Self Enquiry,1,8,Small Business,Male,3,3,Basic,3,Married,7,1,4,0,2,Executive,18057,0
51,Self Enquiry,3,27,Small Business,Male,3,3,Deluxe,3,Single,1,1,5,0,2,Manager,20441,0
36,Self Enquiry,1,12,Salaried,Female,2,1,Basic,3,Married,4,0,1,0,0,Executive,18038,0
51,Company Invited,1,6,Small Business,Female,1,4,Standard,5,Unmarried,4,0,2,1,0,Senior Manager,22484,0
53,Self Enquiry,3,12,Salaried,Male,4,4,Standard,4,Unmarried,2,1,4,1,2,Senior Manager,27124,1
42,Company Invited,1,32,Small Business,Female,2,3,Standard,5,Divorced,4,1,3,0,1,Senior Manager,28191,0
27,Self Enquiry,1,20,Salaried,Male,2,3,Basic,5,Married,2,1,4,1,0,Executive,17235,0
28,Company Invited,3,6,Salaried,Male,2,4,Deluxe,3,Married,2,1,1,0,0,Manager,21834,0
36,Self Enquiry,3,14,Salaried,Female,3,4,Deluxe,3,Married,3,1,4,1,2,Manager,23882,0
46,Self Enquiry,1,28,Small Business,Male,3,3,Deluxe,3,Married,2,1,5,1,2,Manager,33789,1
30,Company Invited,1,21,Salaried,Female,3,4,Standard,3,Unmarried,2,1,5,1,1,Senior Manager,26231,1
36,Self Enquiry,1,9,Salaried,Female,4,4,Basic,5,Married,3,1,1,1,2,Executive,20752,1
35,Company Invited,3,14,Small Business,Female,3,4,Standard,3,Divorced,5,1,5,1,2,Senior Manager,25377,0
32,Company Invited,3,14,Small Business,Female,2,3,Standard,3,Unmarried,2,0,4,1,1,Senior Manager,23998,0
32,Self Enquiry,3,12,Large Business,Male,3,4,Deluxe,3,Married,3,0,5,0,2,Manager,27024,0
33,Self Enquiry,2,9,Salaried,Male,2,3,Basic,4,Married,4,1,5,0,1,Executive,17277,0
35,Company Invited,1,26,Small Business,Female,3,4,Deluxe,4,Married,6,0,3,1,1,Manager,23122,0
28,Company Invited,3,9,Salaried,Male,3,6,Deluxe,3,Unmarried,5,0,4,1,2,Manager,23749,0
38,Self Enquiry,1,8,Small Business,Female,2,4,Standard,3,Married,4,1,5,1,1,Senior Manager,22756,0
31,Self Enquiry,1,14,Salaried,Male,3,4,Deluxe,3,Married,3,0,5,1,2,Manager,22169,0
38,Company Invited,1,14,Small Business,Female,2,4,Deluxe,4,Married,2,1,1,1,0,Manager,17133,0
32,Self Enquiry,1,8,Small Business,Female,3,1,Deluxe,3,Single,1,0,3,0,0,Manager,20055,0
31,Self Enquiry,1,10,Large Business,Female,3,4,Basic,5,Unmarried,7,1,4,0,1,Executive,21335,1
35,Self Enquiry,1,13,Salaried,Female,3,5,Deluxe,4,Married,8,0,3,1,1,Manager,23183,0
43,Self Enquiry,1,9,Small Business,Female,3,5,Basic,5,Married,2,1,4,1,2,Executive,21271,0
34,Self Enquiry,3,17,Small Business,Male,3,4,Deluxe,3,Unmarried,3,0,1,0,1,Manager,24165,0
60,Self Enquiry,1,10,Small Business,Female,3,3,Basic,5,Divorced,6,1,2,1,2,Executive,21348,0
36,Company Invited,3,9,Small Business,Male,2,4,Standard,3,Divorced,5,0,2,0,1,Senior Manager,24699,0
46,Self Enquiry,1,6,Small Business,Male,2,3,King,3,Married,1,0,5,1,1,VP,34627,0
60,Self Enquiry,3,10,Salaried,Female,3,5,Deluxe,3,Unmarried,7,0,3,0,1,Manager,23849,0
28,Self Enquiry,3,9,Salaried,Male,4,4,Deluxe,3,Unmarried,3,1,4,0,2,Manager,23156,0
36,Self Enquiry,3,14,Salaried,Male,4,4,Basic,3,Divorced,3,0,3,1,1,Executive,21082,0
31,Self Enquiry,2,7,Salaried,Male,3,4,Basic,3,Married,2,0,1,0,2,Executive,20742,0
43,Company Invited,1,12,Salaried,Male,4,4,Basic,3,Married,6,0,3,0,2,Executive,20771,0
28,Self Enquiry,1,25,Small Business,Male,3,4,Basic,5,Divorced,2,0,3,1,2,Executive,18196,0
37,Self Enquiry,1,9,Small Business,Male,4,4,Basic,3,Single,6,0,5,1,2,Executive,21197,0
34,Company Invited,3,12,Small Business,Female,2,5,Basic,3,Married,1,0,4,0,1,Executive,17351,1
30,Self Enquiry,1,25,Small Business,Male,3,5,Basic,3,Single,3,1,3,0,1,Executive,21067,1
45,Self Enquiry,1,26,Small Business,Male,3,3,Super Deluxe,3,Married,1,1,3,1,1,AVP,28496,0
27,Self Enquiry,1,20,Salaried,Male,2,3,Basic,5,Divorced,2,1,4,1,0,Executive,17235,0
30,Company Invited,3,9,Salaried,Male,3,4,Deluxe,3,Unmarried,3,0,2,0,1,Manager,23232,0
29,Self Enquiry,3,12,Small Business,Male,4,4,Deluxe,3,Unmarried,3,0,3,0,2,Manager,23586,0
34,Self Enquiry,1,16,Small Business,Male,2,3,Deluxe,5,Single,2,0,4,0,0,Manager,21125,1
27,Self Enquiry,1,9,Small Business,Male,2,4,Basic,3,Single,1,0,2,0,0,Executive,17045,0
38,Self Enquiry,3,16,Salaried,Female,3,3,Deluxe,3,Married,2,0,4,0,2,Manager,20343,0
49,Self Enquiry,1,7,Salaried,Female,3,5,Super Deluxe,5,Divorced,2,0,4,0,2,AVP,34080,0
26,Company Invited,2,23,Salaried,Female,2,3,Basic,3,Married,1,1,5,0,1,Executive,17741,1
19,Self Enquiry,3,16,Small Business,Male,3,4,Basic,3,Single,3,0,5,0,2,Executive,20289,1
32,Self Enquiry,3,13,Small Business,Male,4,3,Deluxe,3,Married,6,0,5,1,3,Manager,24138,0
27,Company Invited,1,7,Salaried,Female,3,4,Deluxe,4,Married,3,0,5,1,2,Manager,25075,0
31,Company Invited,1,30,Salaried,Male,4,6,Basic,3,Married,3,0,3,1,3,Executive,21291,0
31,Company Invited,2,15,Salaried,Female,4,5,Basic,3,Married,8,0,5,1,3,Executive,20858,1
56,Company Invited,3,9,Salaried,Female,3,5,Basic,3,Single,2,0,5,0,1,Executive,32255,1
47,Company Invited,3,10,Small Business,Male,2,3,Deluxe,3,Single,4,0,4,0,1,Manager,17976,0
33,Self Enquiry,1,13,Small Business,Male,2,3,Standard,3,Married,1,0,4,1,0,Senior Manager,26691,0
49,Self Enquiry,1,9,Large Business,Male,4,2,Basic,4,Single,7,0,2,0,3,Executive,21237,0
42,Self Enquiry,1,8,Small Business,Female,2,4,Basic,5,Married,1,1,4,1,1,Executive,17593,0
57,Self Enquiry,1,7,Salaried,Female,3,4,Basic,5,Divorced,4,0,5,1,2,Executive,20744,0
37,Self Enquiry,1,9,Salaried,Female,3,4,Deluxe,4,Unmarried,2,1,3,1,1,Manager,24088,0
44,Self Enquiry,2,9,Salaried,Male,4,4,Basic,3,Unmarried,2,0,1,0,1,Executive,22217,0
53,Self Enquiry,1,12,Salaried,Male,2,3,Deluxe,3,Single,3,0,5,1,1,Manager,17450,0
40,Self Enquiry,1,31,Salaried,Male,3,4,Deluxe,3,Unmarried,2,0,4,1,1,Manager,22786,0
38,Company Invited,3,16,Small Business,Male,4,4,Standard,4,Married,3,0,2,1,1,Senior Manager,27512,0
45,Company Invited,1,31,Salaried,Male,3,4,Basic,3,Married,5,1,5,0,2,Executive,21839,1
33,Company Invited,3,15,Small Business,Female,3,4,Standard,3,Unmarried,3,0,4,1,2,Senior Manager,27676,0
31,Company Invited,1,12,Salaried,Male,4,5,Basic,3,Married,2,0,5,0,1,Executive,22439,0
41,Company Invited,1,33,Small Business,Female,3,4,Deluxe,4,Married,3,0,2,1,1,Manager,24283,0
32,Self Enquiry,3,20,Small Business,Male,4,5,Deluxe,5,Married,7,1,1,1,1,Manager,20980,1
55,Self Enquiry,3,24,Salaried,Female,2,3,Super Deluxe,4,Single,4,0,2,0,1,AVP,31835,0
27,Self Enquiry,1,7,Small Business,Male,3,5,Basic,5,Married,3,0,3,1,2,Executive,22633,0
31,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,1,1,Executive,17911,0
40,Self Enquiry,3,12,Large Business,Male,3,4,Deluxe,3,Married,5,0,1,0,1,Manager,20764,1
42,Self Enquiry,1,26,Salaried,Male,3,4,Deluxe,5,Married,4,0,2,1,1,Manager,21750,0
30,Self Enquiry,3,26,Salaried,Male,4,5,Deluxe,3,Married,3,0,4,1,1,Manager,27298,0
49,Self Enquiry,1,26,Small Business,Female,3,3,Deluxe,5,Divorced,2,0,2,1,2,Manager,21567,0
35,Company Invited,1,7,Small Business,Male,4,5,Deluxe,5,Unmarried,2,0,2,1,3,Manager,24021,0
26,Self Enquiry,3,26,Small Business,Male,3,5,Basic,4,Divorced,3,1,2,0,1,Executive,21091,1
41,Self Enquiry,1,9,Small Business,Female,3,5,Basic,3,Single,2,1,3,1,2,Executive,21020,0
25,Self Enquiry,2,8,Salaried,Female,2,3,Basic,4,Married,5,0,4,0,0,Executive,17187,0
45,Company Invited,1,13,Salaried,Male,3,3,Standard,5,Married,2,0,1,1,0,Senior Manager,20210,0
42,Self Enquiry,3,10,Small Business,Male,2,3,Deluxe,5,Single,1,0,5,1,1,Manager,20155,0
47,Self Enquiry,1,8,Small Business,Female,2,3,Super Deluxe,3,Divorced,4,0,5,1,0,AVP,32169,0
26,Company Invited,1,9,Salaried,Male,4,2,Deluxe,3,Married,3,0,1,0,2,Manager,23884,0
29,Self Enquiry,1,15,Salaried,Female,4,4,Basic,3,Unmarried,3,0,4,1,2,Executive,21988,0
27,Self Enquiry,3,36,Small Business,Male,3,4,Deluxe,3,Married,7,0,5,0,1,Manager,22984,0
26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Married,2,0,4,1,1,Executive,17942,0
35,Self Enquiry,1,22,Small Business,Male,2,1,Basic,4,Married,1,0,4,1,1,Executive,17426,0
27,Self Enquiry,3,17,Small Business,Female,3,1,Basic,3,Divorced,1,0,3,1,1,Executive,17534,0
43,Self Enquiry,1,7,Salaried,Female,4,4,Basic,5,Married,5,0,3,1,2,Executive,21254,0
35,Company Invited,3,26,Small Business,Male,4,3,Deluxe,3,Unmarried,2,1,2,1,3,Manager,23982,1
32,Company Invited,1,13,Salaried,Male,3,2,Basic,4,Divorced,2,0,2,0,1,Executive,17794,0
47,Self Enquiry,1,20,Salaried,Male,3,4,Deluxe,4,Unmarried,8,0,4,1,1,Manager,24240,0
33,Company Invited,1,20,Salaried,Female,4,5,Basic,4,Married,3,0,5,1,1,Executive,21421,0
26,Self Enquiry,1,12,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368,0
40,Self Enquiry,3,8,Salaried,Female,3,3,King,3,Divorced,1,0,3,0,0,VP,33041,0
34,Company Invited,3,8,Small Business,Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231,0
40,Self Enquiry,3,8,Salaried,Female,3,3,King,3,Married,1,0,3,1,0,VP,33041,0
31,Company Invited,1,30,Large Business,Female,1,3,Deluxe,3,Single,3,0,1,1,0,Manager,20238,0
38,Company Invited,1,8,Salaried,Male,2,3,Basic,3,Married,2,1,5,1,0,Executive,16702,0
39,Company Invited,2,7,Salaried,Male,3,4,Basic,4,Married,2,1,1,1,2,Executive,21669,0
44,Company Invited,1,17,Salaried,Female,3,4,Basic,3,Single,2,0,5,0,2,Executive,21133,0
32,Company Invited,1,36,Small Business,Male,4,5,Basic,4,Unmarried,2,0,3,1,3,Executive,22157,1
34,Company Invited,3,25,Small Business,Male,3,1,Deluxe,3,Single,1,1,1,0,0,Manager,20304,1
54,Self Enquiry,1,9,Salaried,Male,2,3,Super Deluxe,3,Divorced,4,0,5,1,1,AVP,32779,0
36,Self Enquiry,3,17,Small Business,Female,3,4,Deluxe,3,Married,5,0,1,1,1,Manager,21652,0
30,Self Enquiry,1,35,Small Business,Female,4,5,Basic,5,Unmarried,3,0,1,0,2,Executive,22463,0
34,Self Enquiry,1,12,Salaried,Male,3,5,Standard,3,Married,6,0,3,0,1,Senior Manager,25797,0
40,Company Invited,1,9,Salaried,Female,3,5,Basic,5,Unmarried,4,1,3,0,1,Executive,22324,1
39,Self Enquiry,1,7,Salaried,Female,3,3,Deluxe,3,Unmarried,2,0,2,1,2,Manager,26303,0
37,Self Enquiry,2,12,Salaried,Male,3,3,Basic,5,Married,5,1,1,0,2,Executive,17073,1
32,Self Enquiry,1,10,Salaried,Female,3,4,Deluxe,3,Divorced,2,0,4,1,0,Manager,21162,0
35,Self Enquiry,3,8,Small Business,Female,3,3,Basic,3,Married,2,0,1,1,2,Executive,17014,0
29,Self Enquiry,3,12,Small Business,Male,4,4,Deluxe,3,Unmarried,3,0,3,1,1,Manager,23586,0
22,Company Invited,1,22,Small Business,Male,3,2,Basic,3,Married,2,1,3,0,0,Executive,17935,0
41,Company Invited,1,16,Small Business,Female,3,4,Standard,3,Single,2,0,4,0,1,Senior Manager,32177,0
35,Self Enquiry,3,23,Salaried,Male,3,3,Deluxe,5,Married,4,1,3,0,2,Manager,23966,0
42,Company Invited,1,27,Small Business,Female,2,3,Deluxe,3,Married,3,0,2,0,0,Manager,20265,0
36,Self Enquiry,1,6,Salaried,Female,2,3,Deluxe,4,Married,1,0,5,1,1,Manager,20228,0
55,Self Enquiry,3,8,Small Business,Male,2,3,Deluxe,3,Single,5,0,1,1,0,Manager,20160,1
